FIPS, MILESOFRAIL
32001,78.25438828
53071,180.2020436
53043,178.2263805
32021,148.5748021
32013,205.1184062
53019,57.40438636
06037,1124.857016
41061,110.6452402
53075,278.5572936
53013,12.3010564
53065,124.2286576
06059,170.3138298
41001,99.87586198
53063,364.9961918
41063,48.34800738
06071,1038.321267
06065,350.5828042
06073,229.5688694
53051,69.58794222
41045,69.24855245
16087,88.55949326
16055,147.2797338
16057,68.83356194
16069,76.28307067
16017,181.5199447
32015,58.12737086
16027,130.1753407
16075,32.86390078
16009,79.66036311
16045,38.20264885
16003,46.21012104
32011,83.92291291
16061,32.66327039
16049,52.8537396
16001,97.29400171
16035,27.24345312
16021,98.14368464
16079,54.44560714
16015,33.6545326
32007,419.5412871
06025,252.8401131
16085,23.75518205
30053,147.5460061
30089,144.7832258
16039,99.05351778
32003,243.0843345
30061,60.46636089
16047,45.54697089
32033,107.3950548
30029,136.1127437
04027,185.4027741
16083,63.42285956
32017,127.2235174
16053,51.42934382
16063,58.72885713
04015,153.8618789
30063,126.0652607
04012,77.91564289
30047,41.61624565
30081,48.50635841
16031,55.25996055
49021,130.5636099
49045,327.7067176
49003,250.8243975
16067,83.67977319
16013,19.82024048
30035,76.98164571
04013,449.9579032
30039,31.18362058
04025,249.3768845
16023,43.82781733
49001,53.21912247
16077,67.44975511
30077,65.743554
49027,136.8911943
30023,30.920898
16011,120.0330346
04019,214.2699426
30001,96.80588354
30093,110.8255907
30057,32.77615413
04005,325.1210317
16005,174.6588908
49057,149.7940954
49023,118.3624961
30049,92.19904872
16033,42.35695997
16071,16.0999529
49031,6.38952701
30073,60.2757518
49041,53.55927912
30043,45.05092058
49035,421.5014121
16051,60.18634136
04021,253.8271363
30101,110.1197209
30099,73.68846322
49049,255.9330518
16019,73.76788954
49011,133.0731456
49005,71.38888002
16029,105.7242311
16041,33.27530796
30013,153.5227168
16065,36.35194863
49029,24.94209672
16043,35.57878103
49039,81.53800013
30031,86.72306368
30007,48.57873758
49051,25.8354527
49043,88.66604474
16007,61.80667155
30051,31.13090044
49007,155.7078197
49033,0.5167036
30015,70.0489974
56023,162.4785156
56041,92.91732704
04023,32.84302186
49015,74.64477443
04007,51.9023232
30067,42.78678989
30045,108.0824934
30041,98.65974324
04017,188.45291
04003,208.0229547
04009,91.01417387
30097,42.90254567
30027,81.59609857
49019,125.1010001
56037,363.4325717
04001,148.8793465
30107,30.19911827
30095,46.02424854
30005,65.49361122
30037,38.99164979
04011,46.78276469
49047,14.3765671
56035,1.67327865
56029,51.97427448
08077,160.6048304
08103,11.88742149
35023,104.2041639
35031,234.3582994
56013,96.04885064
08081,61.71150005
30009,59.54377843
30111,210.7767279
