FRANODEID,ECCENTRICITY,LATITUDE,LONGITUDE
364995,1011,42.11782868,-96.14357872
365002,992,41.54564578,-96.1407672
365003,1339,28.88715586,-96.14017955
365004,1024,40.86876,-96.14004
365005,990,41.54564468,-96.13957579
365007,982,41.22195631,-96.13927921
365010,1272,31.36832656,-96.13850393
365014,982,41.22534575,-96.13712839
365015,991,41.54535255,-96.13665818
365019,1305,29.78142,-96.13484
365020,983,41.21898209,-96.1347375
365021,975,39.3843245,-96.1339932
365022,975,39.38442107,-96.13399141
365023,1201,34.37037484,-96.13364983
365029,984,41.21278559,-96.1312588
365030,1024,40.8638616,-96.13125391
365031,992,41.54478956,-96.13104175
365034,977,39.30428042,-96.12893307
365035,976,39.37646494,-96.12886017
365036,978,39.30382008,-96.12885526
365040,984,41.21271842,-96.12810204
365045,993,41.54446885,-96.12740438
365046,1050,42.85297601,-96.12726212
365049,1023,40.86095858,-96.12657854
365050,978,39.30010298,-96.12649501
365051,979,39.29986222,-96.12587366
365055,1202,34.38140069,-96.12530021
365057,983,39.27899691,-96.12487797
365058,994,41.54422721,-96.12464937
365061,980,39.2926285,-96.12392519
365062,982,39.28608999,-96.12386705
365063,981,39.28960658,-96.12385976
365064,980,39.29023331,-96.1238586
365065,981,39.28663821,-96.12385678
365070,983,41.22140654,-96.12301791
365074,997,41.53680925,-96.12215642
365075,983,39.28454115,-96.12198815
365078,984,39.28454153,-96.12155862
365080,1202,34.38792755,-96.12131884
365083,982,39.28813048,-96.12082837
365084,1201,34.3893398,-96.12067691
365085,984,39.2808172,-96.12047597
365089,998,41.53526668,-96.11983719
365091,984,41.22137385,-96.11928168
365092,985,39.28534413,-96.11905424
365097,985,41.22111428,-96.11812299
365099,981,39.28812761,-96.1177949
365104,976,39.36830803,-96.11760851
365105,986,41.22057696,-96.1173282
365107,984,41.22141748,-96.11687174
365109,983,41.22147065,-96.11644314
365111,996,41.54585636,-96.11610766
365114,987,41.21857617,-96.11529062
365116,979,39.29468946,-96.11481285
365117,981,39.29233673,-96.11464077
365118,979,39.29540479,-96.11463729
365119,980,39.2944991,-96.11462844
365122,995,41.54702406,-96.1139538
365123,984,41.20087814,-96.11382668
365126,987,41.21942564,-96.11340608
365127,985,39.28484444,-96.11334353
365129,977,39.36610941,-96.11308182
365142,1022,40.8630525,-96.1119747
365144,999,41.5284864,-96.11118803
365145,982,39.28737114,-96.11111901
365161,986,41.21924361,-96.10749193
365167,998,41.52506661,-96.10662687
365168,1002,41.53774771,-96.10604676
365170,1276,30.41727295,-96.1058349
365173,1002,41.53358603,-96.10501169
365177,1001,41.52668679,-96.10443705
365179,997,41.55067913,-96.10436044
365188,1002,41.53545629,-96.1029951
365194,1247,32.14223255,-96.10250007
365197,1021,40.8629982,-96.1022926
365200,1000,41.53986805,-96.10225104
365201,999,41.54165978,-96.10220107
365202,998,41.54289829,-96.1021868
365203,1000,41.53983593,-96.10201548
365208,1001,41.52379217,-96.10169948
365209,1000,41.52347808,-96.10149961
365214,1003,41.53380019,-96.10065371
365215,1002,41.52918879,-96.10061802
365216,976,39.36090805,-96.10055477
365219,1003,41.53612373,-96.10002196
365221,984,41.22148298,-96.09978967
365224,985,41.22142981,-96.0996612
365234,999,41.54169191,-96.09687227
365236,996,41.55139798,-96.09565037
365237,1248,32.1419619,-96.09494253
365238,1277,30.39147773,-96.09459247
365239,986,41.22101983,-96.09403447
365241,1010,42.02307265,-96.09380958
365242,1009,42.01748948,-96.09312832
365252,1279,30.38465834,-96.08815598
365253,985,41.22150261,-96.08814275
365254,1283,30.36621625,-96.08807563
365256,999,41.51625428,-96.08774228
365257,1280,30.38368738,-96.08773752
365260,1284,30.36309368,-96.08534096
365262,1282,30.36869879,-96.08433243
365266,1009,41.9280844,-96.08302328
365267,1281,30.3726672,-96.08298812
365268,1008,41.93137249,-96.08255943
365270,1008,41.92618732,-96.08195908
365276,1007,41.91180615,-96.08018742
365277,1282,30.36609534,-96.08015582
365281,1288,30.09839143,-96.07967039
365282,998,39.19773872,-96.07958038
365286,992,41.21521939,-96.07859593
365287,1051,42.90979384,-96.07852363
365290,986,41.22150817,-96.07824868
365291,1283,30.36127378,-96.07807785
365293,986,41.22145286,-96.07780188
365297,987,41.22150877,-96.07719426
365298,989,41.21936437,-96.07651611
365299,1287,32.71278299,-96.07614195
365300,1285,30.34691352,-96.07564748
365301,1006,41.86501591,-96.07442319
365302,987,41.22132104,-96.07435986
365303,1284,30.34573884,-96.07431387
365304,997,39.19574715,-96.07430748
365306,968,39.83392146,-96.07425354
365308,988,41.22141444,-96.0740176
365313,988,41.22036374,-96.07326815
365314,990,41.21889855,-96.0732563
365315,989,41.21980457,-96.07325625
365317,991,41.21639105,-96.07323391
365321,969,39.83365457,-96.07257817
365326,1287,30.22958244,-96.07148631
365328,1200,34.44595324,-96.0709999
365330,970,39.83337446,-96.07054869
