FRANODEID,ECCENTRICITY,EFFICIENCY,LATITUDE,LONGITUDE
311194,1251,0.003723681,37.49317759,-121.9363478
311195,1251,0.003741903,37.49297487,-121.9361868
311197,1250,0.003805471,37.49277728,-121.9360322
311198,1249,0.003891206,37.49273878,-121.9359131
311199,1249,0.00388359,37.49260021,-121.9358937
311200,1248,0.003907227,37.49249243,-121.9357327
311201,1248,0.00396892,37.49236926,-121.935723
311202,1247,0.003997697,37.49228201,-121.9355749
311203,1247,0.004033185,37.49207928,-121.9354235
311204,1247,0.004045096,37.49144544,-121.9351498
311205,1248,0.003952114,37.49159685,-121.935124
311206,1244,0.004156723,37.49194328,-121.9351015
311207,1247,0.004059223,37.49139668,-121.9350693
311208,1245,0.004083139,37.49173542,-121.9350403
311209,1246,0.004088362,37.49148907,-121.9349662
311210,1246,0.004147274,37.49108104,-121.934905
311211,1248,0.00389384,37.49092707,-121.9348889
311212,1245,0.00420679,37.48996731,-121.9342738
311213,1215,0.00379562,38.02998006,-121.9339276
311214,1244,0.004032607,37.49078593,-121.9336393
311215,1243,0.004196147,37.49048818,-121.9334246
311216,1242,0.004355419,37.49015136,-121.9332434
311217,1249,0.003737667,37.48749085,-121.9331112
311218,1245,0.004102658,37.48859436,-121.9330017
311220,1242,0.004398442,37.48850967,-121.9328567
311221,1244,0.00427162,37.48818375,-121.9327279
311222,1241,0.004438435,37.48808082,-121.9325738
311223,1243,0.004379384,37.48794252,-121.9325443
311224,1242,0.004431144,37.4877264,-121.9323921
311225,1243,0.004276446,37.48820469,-121.9321326
311227,1243,0.004329778,37.48541571,-121.9312059
311229,1244,0.004227892,37.48523557,-121.9305532
311230,1245,0.004081629,37.48477267,-121.9303887
311231,1246,0.003934834,37.48449338,-121.9303034
311232,1213,0.004180518,38.03049397,-121.9301356
311233,1247,0.00390444,37.47987172,-121.9280088
311234,1246,0.004049532,37.47960373,-121.927824
311235,1245,0.004192732,37.47920879,-121.9275579
311236,1244,0.00420429,37.47762506,-121.9271868
311237,1306,0.00255589,41.9491826,-121.9267058
311238,1225,0.003455157,38.02973838,-121.9260608
311239,1245,0.004100263,37.47419084,-121.9254185
311240,1244,0.004256256,37.47384557,-121.925186
311241,1214,0.004132534,38.0291869,-121.9250039
311243,1215,0.003953033,38.02848041,-121.9240249
311246,1254,0.00355275,37.38924818,-121.9222113
311247,1444,0.002892106,45.64618731,-121.9220121
311249,1245,0.00415397,37.46620506,-121.9213183
311252,1253,0.003688053,37.3874221,-121.9203987
311255,1245,0.004218142,37.4626834,-121.9195081
311264,1252,0.003793538,37.38521539,-121.9181827
311268,1246,0.004187156,37.45811738,-121.9171687
311269,1252,0.003777873,37.38407828,-121.91712
311270,1246,0.004161379,37.4581683,-121.9169741
311276,1307,0.00256062,41.96458703,-121.9163316
311277,1253,0.00368022,37.388127,-121.9159197
311279,1251,0.003901645,37.38277041,-121.9158341
311280,1253,0.003630092,37.38242444,-121.9156006
311281,1254,0.003548573,37.38869174,-121.9153503
311282,1254,0.003548573,37.38865664,-121.915307
311289,1256,0.00340869,37.34123566,-121.9120806
311298,1226,0.003887556,38.35000905,-121.9098844
311299,1247,0.004222655,37.44332804,-121.9093629
311303,1248,0.004234903,37.44182444,-121.9085888
311311,1226,0.003756888,38.35167299,-121.9082076
311321,1249,0.004221927,37.43500883,-121.9048232
311322,1250,0.004157142,37.43467196,-121.9046916
311323,1215,0.004108872,38.0259664,-121.9046012
311324,1256,0.00340869,37.33447722,-121.9045964
311325,1251,0.004053512,37.4344262,-121.9045601
311326,1251,0.004080232,37.43402194,-121.9045412
311327,1261,0.003287326,37.43091646,-121.9045317
311328,1252,0.00401163,37.43372018,-121.9045077
311329,1261,0.003287326,37.43093556,-121.904455
311330,1252,0.00394057,37.43360559,-121.9044167
311331,1260,0.003356717,37.43095848,-121.9043688
311332,1259,0.003427487,37.43097376,-121.9042874
311333,1252,0.003924467,37.43364379,-121.9042826
311334,1258,0.003504338,37.43098903,-121.9041964
311335,1253,0.003875043,37.43286838,-121.904182
311336,1216,0.004096806,38.0259284,-121.9041605
311337,1253,0.003957679,37.43194781,-121.9039329
311338,1216,0.003962892,38.02584937,-121.9037652
311339,1254,0.003899088,37.43150853,-121.9037605
311340,1255,0.003834626,37.43080186,-121.9036311
311341,1260,0.003398491,37.42883842,-121.903612
311342,1255,0.003785318,37.43107689,-121.9035976
311343,1256,0.003648255,37.43084388,-121.9035257
311344,1255,0.003515838,37.33802544,-121.9035248
311345,1217,0.004041041,38.02591326,-121.9035165
311346,1254,0.003842507,37.43114947,-121.903497
311347,1256,0.003706141,37.43035494,-121.9034922
311348,1256,0.0037091,37.43078658,-121.9034395
311349,1253,0.003823218,37.43181279,-121.9034385
311350,1259,0.003484926,37.42859395,-121.9034156
311351,1257,0.003615352,37.42999204,-121.9033677
311352,1259,0.003486186,37.42947254,-121.9033485
311353,1260,0.003419337,37.42969027,-121.9033485
311354,1255,0.003724216,37.4308668,-121.9032815
311357,1258,0.003570132,37.42830745,-121.9031952
311358,1257,0.003664088,37.42807061,-121.9030132
311363,1256,0.00377927,37.42773444,-121.902745
311365,1225,0.00388008,38.35838758,-121.9024551
311366,1257,0.003716853,37.42726076,-121.9024432
311367,1258,0.003614998,37.42694799,-121.902232
311368,1224,0.003543499,38.02647039,-121.9021576
311369,1218,0.003958954,38.0259099,-121.9021007
311370,1259,0.003533462,37.42651585,-121.9019402
311371,1260,0.003464178,37.42629046,-121.9017534
311372,1223,0.003628242,38.02643002,-121.9016426
